=== RIG ===
weapon_IK_hand_L|world=(0.22606, 2.59856, -6.57184)|rot=(35.046, 177.806, 209.759)|view=(0.72015, 0.20319, 0.42816)
hand_L_to_weapon_ikrule|world=(0.29711, 2.14467, -6.96050)|rot=(347.850, 121.154, 47.215)|view=(3.63648, -11.23591, 0.03950)
weapon_IK_hand_R|world=(0.22606, 2.59856, -6.57184)|rot=(35.046, 177.806, 209.759)|view=(0.72015, 0.20319, 0.42816)
hand_R_to_weapon_ikrule|world=(0.27754, 2.56693, -6.64083)|rot=(314.053, 151.577, 270.111)|view=(0.82220, 0.08089, 0.35917)
Knife_M9|world=(0.20014, 2.77290, -6.93000)|rot=(273.000, 87.500, 270.000)|view=(1.69218, 0.53069, 0.07000)
RightHand_Mesh|world=(-0.15921, 1.02732, -6.38895)|rot=(336.991, 348.228, 357.356)|view=(0.39136, -1.61411, 0.61105)
handIK.L|world=(-0.33429, 2.57253, -6.78654)|rot=(335.332, 113.181, 71.770)|view=(-0.15299, -0.18573, 0.21347)
handIK.L_end|world=(-0.30498, 2.60536, -6.67979)|rot=(335.332, 113.181, 71.770)|view=(0.10286, 0.11885, 0.32021)
handIK.R|world=(0.27796, 2.56262, -6.64516)|rot=(345.948, 236.945, 306.794)|view=(0.82663, 0.06677, 0.35484)
handIK.R_end|world=(0.24160, 2.62970, -6.55851)|rot=(345.948, 236.945, 306.794)|view=(0.72818, 0.26444, 0.44149)
hand.L|world=(-0.33429, 2.57363, -6.78690)|rot=(335.483, 113.240, 71.548)|view=(-0.15410, -0.18309, 0.21310)
palm.01.L|world=(-0.30408, 2.59952, -6.76115)|rot=(61.289, 47.116, 22.518)|view=(-0.03085, -0.02910, 0.23885)
f_index.01.L|world=(-0.28024, 2.63129, -6.70159)|rot=(68.436, 157.980, 129.786)|view=(0.10842, 0.15544, 0.29841)
f_index.02.L|world=(-0.25585, 2.61957, -6.65973)|rot=(55.066, 185.039, 155.205)|view=(0.18648, 0.17228, 0.34027)
f_index.03.L|world=(-0.24417, 2.60700, -6.64270)|rot=(36.611, 195.431, 163.337)|view=(0.21505, 0.16183, 0.35730)
f_index.03.L_end|world=(-0.23294, 2.58685, -6.63026)|rot=(36.611, 195.431, 163.337)|view=(0.23730, 0.13280, 0.36974)
thumb.01.L|world=(-0.29027, 2.58138, -6.76037)|rot=(37.126, 336.561, 285.371)|view=(-0.00508, -0.08348, 0.23963)
thumb.02.L|world=(-0.25296, 2.59099, -6.73627)|rot=(40.536, 312.200, 272.564)|view=(0.10006, -0.00317, 0.26373)
thumb.03.L|world=(-0.22929, 2.59223, -6.70860)|rot=(27.811, 300.548, 269.465)|view=(0.17190, 0.04777, 0.29140)
thumb.03.L_end|world=(-0.21039, 2.59192, -6.67688)|rot=(27.811, 300.548, 269.465)|view=(0.22851, 0.09146, 0.32312)
palm.02.L|world=(-0.32063, 2.59492, -6.75205)|rot=(56.816, 57.306, 37.526)|view=(-0.03919, -0.02343, 0.24795)
f_middle.01.L|world=(-0.30423, 2.62594, -6.68980)|rot=(66.129, 142.463, 116.811)|view=(0.09106, 0.15573, 0.31020)
f_middle.02.L|world=(-0.27879, 2.61576, -6.64126)|rot=(51.193, 172.146, 142.847)|view=(0.17596, 0.18129, 0.35874)
f_middle.03.L|world=(-0.26314, 2.60054, -6.62000)|rot=(33.472, 186.299, 152.568)|view=(0.21126, 0.16943, 0.38000)
f_middle.03.L_end|world=(-0.24867, 2.57960, -6.60767)|rot=(33.472, 186.299, 152.568)|view=(0.23571, 0.14026, 0.39233)
palm.03.L|world=(-0.33491, 2.58696, -6.74772)|rot=(303.332, 242.156, 308.779)|view=(-0.05354, -0.03783, 0.25228)
f_ring.01.L|world=(-0.32784, 2.61162, -6.68081)|rot=(58.073, 136.974, 115.947)|view=(0.07173, 0.13219, 0.31919)
f_ring.02.L|world=(-0.30712, 2.59976, -6.63541)|rot=(46.502, 163.153, 137.485)|view=(0.14875, 0.15386, 0.36459)
f_ring.03.L|world=(-0.29118, 2.58331, -6.61247)|rot=(24.342, 177.515, 145.530)|view=(0.18670, 0.14288, 0.38753)
f_ring.03.L_end|world=(-0.27779, 2.56505, -6.60363)|rot=(24.342, 177.515, 145.530)|view=(0.20777, 0.11671, 0.39637)
palm.04.L|world=(-0.34651, 2.57702, -6.74257)|rot=(50.868, 69.137, 64.876)|view=(-0.06127, -0.05571, 0.25743)
f_pinky.01.L|world=(-0.34749, 2.59473, -6.67888)|rot=(52.373, 130.891, 115.929)|view=(0.04879, 0.09540, 0.32112)
f_pinky.02.L|world=(-0.33311, 2.58300, -6.63903)|rot=(35.685, 154.394, 134.127)|view=(0.11521, 0.11597, 0.36097)
f_pinky.03.L|world=(-0.32245, 2.57022, -6.62374)|rot=(25.232, 169.560, 142.284)|view=(0.14266, 0.10640, 0.37626)
f_pinky.03.L_end|world=(-0.31022, 2.55402, -6.61373)|rot=(25.232, 169.560, 142.284)|view=(0.16513, 0.08552, 0.38627)
hand.R|world=(0.27900, 2.56312, -6.64506)|rot=(346.045, 237.181, 306.884)|view=(0.82775, 0.06793, 0.35494)
palm.01.R|world=(0.24707, 2.59545, -6.63160)|rot=(45.996, 328.334, 0.615)|view=(0.77965, 0.14878, 0.36840)
f_index.01.R|world=(0.21939, 2.64519, -6.58817)|rot=(69.603, 154.028, 178.823)|view=(0.72213, 0.27534, 0.41183)
